股票代码,股票简称,现价(元),涨跌幅(%),所属同花顺行业,所属概念,动态市盈率2018.12.13,所属概念数量(个),a股流通市值 (元)2018.12.13,dde大单净额(元)2018.12.13,小单净额(元)2018.12.13,中单净额(元)2018.12.13,特大单净额(元)2018.12.13,小单买入金额(元)2018.12.13,小单卖出金额(元)2018.12.13,中单买入金额(元)2018.12.13,中单卖出金额(元)2018.12.13,dde大单买入金额(元)2018.12.13,dde大单卖出金额(元)2018.12.13,特大单买入金额(元)2018.12.13,特大单卖出金额(元)2018.12.13,特大单净比(%)2018.12.13
000009.SZ,中国宝安,4.82,1.26,综合-综合-综合Ⅲ,MSCI潜力股;磷酸铁锂;土地流转;低碳;聚土地概念;融资融券;深股通;转融券标的;充电桩;生物农药;生物医药;负极材料;新能源汽车;锂电池;石墨烯;创投,78.79,16.,10217383298.12,4126121.00,-1209488.00,-2916632.90,493354.00,20510323.60,21719811.70,26620989.10,29537622.00,9598991.00,5472870.00,1504756.00,1011402.00,0.87
000409.SZ,*ST地矿,5.87,5.01,综合-综合-综合Ⅲ,稀有金属;中医药;ST板块;山东国资改革;地方国资改革;小金属概念;黄金概念,43.71,7.,2381055402.28,2866302.80,-2704335.50,-161967.10,1184006.50,10814764.50,13519100.20,14208336.50,14370303.60,8494673.20,5628370.40,3096740.10,1912733.60,3.53
000576.SZ,广东甘化,6.91,-0.86,综合-综合-综合Ⅲ,调味品;人民币升值;甘蔗废料利用;深股通;白糖;军工,-59.70,6.,3009901934.17,3409403.00,1675208.00,-5084611.00,1296149.00,39216623.00,37541415.00,35634344.00,40718955.00,12598261.00,9188858.00,1296149.00,0.00,1.48
000628.SZ,高新发展,10.08,0.70,综合-综合-综合Ⅲ,创投;成渝特区;参股新三板;四川国资改革;地方国资改革;期货概念,172.20,6.,1894841827.20,1720797.00,-2787100.00,1066303.00,0.00,15853654.40,18640754.40,17518788.00,16452485.00,3804459.00,2083662.00,0.00,0.00,0.00
000652.SZ,泰达股份,3.26,-0.31,综合-综合-综合Ⅲ,滨海新区;余额宝;生物质能;秸秆综合利用;债转股;废气处理;环渤海;参股券商;口罩;低碳;体育产业;甲型流感;循环经济;雄安金融;足球概念;重金属治理;雄安新区;深股通;垃圾发电;天津国资改革;地方国资改革;证金持股;固废处理;节能环保;独角兽概念,49.86,25.,4805649729.84,925708.20,548377.70,-1474085.90,-476487.60,11388900.60,10840522.90,16519698.50,17993784.40,9592402.30,8666694.10,2673523.00,3150010.60,-1.27
000833.SZ,粤桂股份,4.92,0.82,综合-综合-综合Ⅲ,低碳;涉矿;东盟北部湾;月饼;调味品;循环经济;甘蔗废料利用;广东国资改革;地方国资改革;白糖;纸浆,25.19,11.,1860185319.24,0.00,81918.20,-81918.24,0.00,3550677.44,3468759.20,1830584.00,1912502.24,0.00,0.00,0.00,0.00,0.00
000839.SZ,中信国安,3.72,1.09,综合-综合-综合Ⅲ,新媒体;中概股回归;足球概念;低碳;特斯拉;网络游戏;锂矿;MSCI概念;量子通信;数字电视;火箭军;稀有金属;参股360;虚拟现实;钾离子电池;融资融券;冰雪产业;深股通;转融券标的;锂电制造;VR直播;世界杯;体育产业;小金属概念;新能源汽车;锂电池,2008.52,26.,14578706791.44,6103157.00,-1721957.00,-4381200.00,9537707.00,19660782.50,21382739.50,31848942.00,36230142.00,32073950.50,25970793.50,12615037.00,3077330.00,11.41
000881.SZ,中广核技,7.22,0.70,综合-综合-综合Ⅲ,北京环球影城;东北亚经贸中心;大连自贸区;中韩自贸区;水产品;海洋经济;海底隧道;深股通;国改双百行动;核电,29.43,10.,2224152768.00,1391219.00,-819482.40,-571736.60,0.00,9183954.20,10003436.60,7431365.70,8003102.30,1391219.00,0.00,0.00,0.00,0.00
300012.SZ,华测检测,6.70,1.82,综合-综合-综合Ⅲ,食品中国峰会;现代服务业;塑化剂;检测认证;PM2.5;土壤修复;环境监测;食品安全;电子商务;地沟油概念;废气处理;上海自贸区;深股通,51.58,13.,10081259861.70,2438654.20,9184905.00,-11623559.00,10924379.20,67654863.90,58469959.10,52493728.00,64117287.00,56570533.70,54131879.50,30047248.70,19122869.50,6.18
600070.SH,浙江富润,7.08,0.00,综合-综合-综合Ⅲ,节能环保;金改;小额贷款;参股保险;大数据;华为概念;独角兽概念,19.52,7.,2842748204.64,-3187453.60,1181698.90,2005754.70,-121776.00,13242064.00,12060365.10,12968167.60,10962412.90,3821954.00,7009407.60,1165368.00,1287144.00,-0.41
