industry,name,market_capitalization_billion,roe_perc_2017,roe_perc_2016,outperform_sse,outperform_dummy,market_capitalization_by_industry,q1,q2,q3,min,max,r0,r1,outlier,weighted_outperformance,bluechips
化工,雅克科技,6.887260125,2.25,4.92,-25.03,0,2455.272603,-16.95,-7.87,4.16,-47.86,119.39,-47.86,35.825,0,-0.070211398,0
化工,恒逸石化,27.45466976,14.21,11.41,0.87,1,2455.272603,-16.95,-7.87,4.16,-47.86,119.39,-47.86,35.825,0,0.009728273,1
化工,国际实业,2.064087571,-3.09,1.61,4.31,1,2455.272603,-16.95,-7.87,4.16,-47.86,119.39,-47.86,35.825,0,0.003623311,0
化工,嘉化能源,14.16970507,19.28,20,30.35,1,2455.272603,-16.95,-7.87,4.16,-47.86,119.39,-47.86,35.825,0,0.175153891,0
化工,南京化纤,1.685191646,-22.95,6.32,-22.59,0,2455.272603,-16.95,-7.87,4.16,-47.86,119.39,-47.86,35.825,0,-0.015504787,0
化工,扬农化工,12.17902705,15.71,13.44,2.9,1,2455.272603,-16.95,-7.87,4.16,-47.86,119.39,-47.86,35.825,0,0.014385033,1
化工,天原集团,4.325947874,2.5,1.37,-10.98,0,2455.272603,-16.95,-7.87,4.16,-47.86,119.39,-47.86,35.825,0,-0.019345676,0
化工,安诺其,3.74226761,7.69,8.27,10.75,1,2455.272603,-16.95,-7.87,4.16,-47.86,119.39,-47.86,35.825,0,0.016384892,0
化工,乐凯新材,1.849368,19.77,23.54,-7.85,0,2455.272603,-16.95,-7.87,4.16,-47.86,119.39,-47.86,35.825,0,-0.005912801,0
化工,日科化学,2.295129989,6.52,5.94,32.68,1,2455.272603,-16.95,-7.87,4.16,-47.86,119.39,-47.86,35.825,0,0.030548481,1
化工,德美化工,2.65792345,1.67,7.67,-34.41,0,2455.272603,-16.95,-7.87,4.16,-47.86,119.39,-47.86,35.825,0,-0.037250098,0
化工,红太阳,8.084358392,13.64,2.7,-6.32,0,2455.272603,-16.95,-7.87,4.16,-47.86,119.39,-47.86,35.825,0,-0.020809561,0
化工,国恩股份,6.2957125,22.23,17.04,4.81,1,2455.272603,-16.95,-7.87,4.16,-47.86,119.39,-47.86,35.825,0,0.012333611,1
化工,乐通股份,2.994,0.21,0.16,17.69,1,2455.272603,-16.95,-7.87,4.16,-47.86,119.39,-47.86,35.825,0,0.021571478,0
化工,云图控股,4.515147,3.44,4.76,-6.03,0,2455.272603,-16.95,-7.87,4.16,-47.86,119.39,-47.86,35.825,0,-0.011088926,0
化工,恒天海龙,2.33274046,0.71,1.69,-9.25,0,2455.272603,-16.95,-7.87,4.16,-47.86,119.39,-47.86,35.825,0,-0.008788372,0
化工,普利特,4.034310422,7.92,14.16,-14.11,0,2455.272603,-16.95,-7.87,4.16,-47.86,119.39,-47.86,35.825,0,-0.02318444,0
化工,再升科技,4.114055524,9.95,10.12,3.62,1,2455.272603,-16.95,-7.87,4.16,-47.86,119.39,-47.86,35.825,0,0.006065673,0
化工,江苏索普,1.69451063,15.96,5.09,-8.48,0,2455.272603,-16.95,-7.87,4.16,-47.86,119.39,-47.86,35.825,0,-0.005852487,1
化工,青岛双星,3.284016661,4.07,3.67,-14.61,0,2455.272603,-16.95,-7.87,4.16,-47.86,119.39,-47.86,35.825,0,-0.019541408,0
化工,同德化工,2.19247056,9.42,8.37,8.8,1,2455.272603,-16.95,-7.87,4.16,-47.86,119.39,-47.86,35.825,0,0.007858085,1
化工,江南高纤,2.943993533,4.09,1.67,-10.57,0,2455.272603,-16.95,-7.87,4.16,-47.86,119.39,-47.86,35.825,0,-0.012673954,0
化工,亚邦股份,4.36032,14.03,19.99,-31.32,0,2455.272603,-16.95,-7.87,4.16,-47.86,119.39,-47.86,35.825,0,-0.055621206,0
化工,两面针,2.0625,-7.49,1.31,-21.37,0,2455.272603,-16.95,-7.87,4.16,-47.86,119.39,-47.86,35.825,0,-0.017951418,0
化工,嘉澳环保,1.657790614,7.83,7.78,-12.01,0,2455.272603,-16.95,-7.87,4.16,-47.86,119.39,-47.86,35.825,0,-0.008109106,1
化工,雅本化学,4.787648071,7.05,1.68,8.89,1,2455.272603,-16.95,-7.87,4.16,-47.86,119.39,-47.86,35.825,0,0.017335017,0
化工,国光股份,3.98501769,22.1,16.24,6.95,1,2455.272603,-16.95,-7.87,4.16,-47.86,119.39,-47.86,35.825,0,0.011280162,1
化工,金牛化工,3.163486493,3.83,2.98,-12.6,0,2455.272603,-16.95,-7.87,4.16,-47.86,119.39,-47.86,35.825,0,-0.016234421,0
化工,奥克股份,3.91414,7.59,2.89,9.09,1,2455.272603,-16.95,-7.87,4.16,-47.86,119.39,-47.86,35.825,0,0.014491072,0
化工,康普顿,2.168,14.85,17.76,-16.16,0,2455.272603,-16.95,-7.87,4.16,-47.86,119.39,-47.86,35.825,0,-0.014269242,0
化工,世龙实业,1.7616,13.67,10.53,-27.76,0,2455.272603,-16.95,-7.87,4.16,-47.86,119.39,-47.86,35.825,0,-0.019917143,1
化工,华鼎股份,8.654447111,3.37,2.66,-22.91,0,2455.272603,-16.95,-7.87,4.16,-47.86,119.39,-47.86,35.825,0,-0.080754122,0
化工,云南能投,4.059054273,7.04,12.95,-13.32,0,2455.272603,-16.95,-7.87,4.16,-47.86,119.39,-47.86,35.825,0,-0.022020611,0
化工,建新股份,5.49634778,9.22,2.5,119.39,1,2455.272603,-16.95,-7.87,4.16,-47.86,119.39,-47.86,35.825,1,0.267265216,0
化工,同大股份,1.152624,4.19,5.84,-20.83,0,2455.272603,-16.95,-7.87,4.16,-47.86,119.39,-47.86,35.825,0,-0.009778612,0
化工,青岛金王,3.608195524,19,14.71,-26.39,0,2455.272603,-16.95,-7.87,4.16,-47.86,119.39,-47.86,35.825,0,-0.038781958,1
化工,恩捷股份,24.02036446,9.74,17.16,22.5,1,2455.272603,-16.95,-7.87,4.16,-47.86,119.39,-47.86,35.825,0,0.220121464,0
化工,航锦科技,6.555,10.72,5.16,-3.45,0,2455.272603,-16.95,-7.87,4.16,-47.86,119.39,-47.86,35.825,0,-0.009210688,1
化工,中化国际,15.16433225,5.25,0.51,9.99,1,2455.272603,-16.95,-7.87,4.16,-47.86,119.39,-47.86,35.825,0,0.061700554,0
化工,东华能源,13.21476042,14.93,11.16,-11.24,0,2455.272603,-16.95,-7.87,4.16,-47.86,119.39,-47.86,35.825,0,-0.060495892,1
化工,三友化工,12.30352271,22.31,11.47,-13.11,0,2455.272603,-16.95,-7.87,4.16,-47.86,119.39,-47.86,35.825,0,-0.06569502,1
化工,湘潭电化,2.426111895,4.38,2.13,-8.4,0,2455.272603,-16.95,-7.87,4.16,-47.86,119.39,-47.86,35.825,0,-0.008300235,0
化工,金路集团,2.522014532,8.06,7.48,-30.05,0,2455.272603,-16.95,-7.87,4.16,-47.86,119.39,-47.86,35.825,0,-0.030866852,1
化工,霞客环保,1.939406513,2.55,-13.31,-19.54,0,2455.272603,-16.95,-7.87,4.16,-47.86,119.39,-47.86,35.825,0,-0.01543454,0
化工,蓝帆医疗,14.75954558,14.87,14.66,50.6,1,2455.272603,-16.95,-7.87,4.16,-47.86,119.39,-47.86,35.825,1,0.304175188,1
化工,皖维高新,4.718441995,1.92,3.01,-11.32,0,2455.272603,-16.95,-7.87,4.16,-47.86,119.39,-47.86,35.825,0,-0.021754311,0
化工,氯碱化工,6.721304636,40.85,-15.61,-15.95,0,2455.272603,-16.95,-7.87,4.16,-47.86,119.39,-47.86,35.825,0,-0.043663098,0
化工,高争民爆,2.63856,14.42,30.84,3.02,1,2455.272603,-16.95,-7.87,4.16,-47.86,119.39,-47.86,35.825,0,0.003245445,0
化工,大庆华科,1.66457118,8.88,6.67,-14.87,0,2455.272603,-16.95,-7.87,4.16,-47.86,119.39,-47.86,35.825,0,-0.010081232,1
化工,华昌化工,3.377719944,2.12,1.11,-2.37,0,2455.272603,-16.95,-7.87,4.16,-47.86,119.39,-47.86,35.825,0,-0.00326041,0
化工,新疆天业,4.483328043,13.14,18.01,-17.38,0,2455.272603,-16.95,-7.87,4.16,-47.86,119.39,-47.86,35.825,0,-0.031735882,0
化工,辉隆股份,3.344016,6.06,4.71,-15.45,0,2455.272603,-16.95,-7.87,4.16,-47.86,119.39,-47.86,35.825,0,-0.021042489,0
化工,神马股份,4.909308,2.69,3.49,80.8,1,2455.272603,-16.95,-7.87,4.16,-47.86,119.39,-47.86,35.825,1,0.161559285,0
化工,安纳达,1.7696146,27.98,8.82,-18.89,0,2455.272603,-16.95,-7.87,4.16,-47.86,119.39,-47.86,35.825,0,-0.01361479,1
化工,广汇能源,26.34207379,5.77,1.86,11.15,1,2455.272603,-16.95,-7.87,4.16,-47.86,119.39,-47.86,35.825,0,0.119625871,0
